ID,Binomial,Country,Latitude,Longitude,Class,Order,Family,Genus,Species,System,Units,Native,Included in LPR2024,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1425,Gadus_morhua,United Kingdom,48.88194,-8.57528,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,SSB (tonnes),1,1,,8939.0,8221.0,7673.0,7410.0,6622.0,6301.0,7684.0,8613.0,8947.0,9452.0,10276.0,12682.0,12928.0,9663.0,12775.0,13243.0,10842.0,14609.0,23965.0,17769.0,9940.0,8146.0,11001.0,13115.0,11849.0,14729.0,13157.0,11827.0,10972.0,7049.0,7159.0,9456.0,8233.0,4768.0,3857.0,4365.0,5879.0,6794.0,,,,,,,,,,,,
1426,Gadus_morhua,United Kingdom,55.33333,3.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,SSB (tonnes),1,1,260553.0,264800.0,243532.0,205762.0,233150.0,211890.0,180579.0,163815.0,150864.0,158450.0,179034.0,190515.0,184954.0,148887.0,131990.0,124377.0,115131.0,107497.0,98891.0,92916.0,81366.0,78101.0,77358.0,78840.0,75188.0,95221.0,103559.0,91452.0,76291.0,73461.0,48706.0,38605.0,46580.0,43109.0,39534.0,36347.0,34889.0,42853.0,58458.0,68560.0,55789.0,,,,,,,,,,
1427,Gadus_morhua,Norway,69.7,17.4,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Relative SSB (1=average 1995-2005),1,1,,,,,,,,,,,,,,,1.414,1.184,1.235,1.163,1.219,1.04,1.158,1.397,1.718,1.865,1.94,1.833,1.991,1.51,1.148,0.977,0.838,0.818,1.028,0.762,0.785,0.682,0.8,0.808,0.76,0.756,0.779,0.843,0.763,0.699,,,,,,,
1428,Gadus_morhua,Faroe Islands,61.635,-9.44472,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,SSB-MT,1,1,78025.0,58066.0,51044.0,69306.0,84633.0,100337.0,108465.0,104149.0,73701.0,61553.0,54654.0,58766.0,60594.0,99269.0,120968.0,85740.0,73510.0,59460.0,50161.0,36798.0,30507.0,21799.0,16550.0,25584.0,55813.0,59462.0,81529.0,75744.0,49425.0,37848.0,37912.0,55412.0,57522.0,43579.0,25905.0,21150.0,16404.0,14335.0,17874.0,18807.0,21764.0,19636.0,17317.0,15979.0,16438.0,16786.0,20567.0,22955.0,29670.0,29764.0,17732.0
1429,Gadus_morhua,Sweden,57.00361,11.50222,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,SSB (000 tonnes),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.709597,2.037718,1.924754,1.467506,1.263144,1.239524,1.084455,0.985612,1.227714,1.281886,0.89293,0.542741,0.22028,0.19666,0.277019,0.365079,0.640301,0.885741,1.399471,1.1014,0.605642,0.443641,0.207186,
1430,Gadus_morhua,Canada,50.0,-52.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (Thousand tonnes),1,0,627.0,604.0,606.0,479.0,424.0,285.0,159.0,93.0,109.0,141.0,270.0,373.0,414.0,334.0,278.0,303.0,290.0,299.0,332.0,290.0,160.0,80.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,Gadus_morhua,International Waters,47.0,-45.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Abundance (000s),1,0,,,,,,,,,,,,,,,,,,,148.13,229.7,66.76,208.9,130.79,199.8,45.59,22.51,15.292,11.124,3.656,1.671,1.537,3.036,2.24,1.605,4.213,10.158,25.964,22.299,41.12,48.698,117.81,,,,,,,,,,
1432,Gadus_morhua,Canada,44.3,-51.3,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (tonnes),1,0,154284.2,141174.9,121119.36,106657.13,99620.4,44389.74,21463.87,27627.98,32062.51,43048.28,59537.54,102796.6,110598.3,112985.9,108970.1,118623.1,128392.8,118364.4,89201.09,78767.37,52589.8,49493.1,23416.02,17309.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,Gadus_morhua,Canada,49.0,-60.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (Tonnes),1,0,,,,,106732.0,116752.0,109910.0,98360.0,94229.0,117565.0,124366.0,150576.0,162978.0,157166.0,188375.0,138858.0,114454.0,88539.0,59023.0,58707.0,39846.0,25791.0,15571.0,10460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,Gadus_morhua,Canada,49.0,-60.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (tonnes),1,0,,,,,117363.5095,132427.4284,122759.321,101566.8622,103655.2777,130133.0,137304.0,167997.0,170654.0033,171505.9274,191078.4873,140373.5317,120424.7793,90426.01743,67506.90002,61107.71009,42040.93199,26483.18129,15675.60354,9025.84392,4995.969,6166.0,10327.0,14745.0,,,,,,,,,,,,,,,,,,,,,,,
